Code,Age,Household Number,Household with Children Number,Household with Children Ratio
92029,45.6,19593,2745,0.140101056
70364,35.3,30306,4880,0.16102422
19707,48.2,15993,2747,0.171762646
47006,40.9,12009,2137,0.177949871
47331,43.1,22635,2212,0.097724763
32725,39.7,50467,6425,0.127310916
32712,41.1,48676,7160,0.147095078
3087,44.5,14769,3253,0.22025865
60441,37.2,35971,6006,0.166967835
86047,34.3,15497,1365,0.088081564
22401,30.7,28934,2901,0.100262667
48390,43,24140,3409,0.141217896
24540,43.9,31951,2619,0.081969265
77015,30.5,57093,8196,0.143555252
22901,42.3,35757,4535,0.126828313
55387,38.8,13659,3213,0.235229519
84107,34.1,34174,4507,0.131883888
65401,31.7,33523,4583,0.136712108
65616,41.5,28008,3447,0.123071979
94112,43.2,85630,7683,0.089723228
63005,45,18280,4138,0.226367615
15202,38.8,19782,2005,0.101354767
19713,38.8,30590,3274,0.107028441
53221,38.7,40546,6296,0.155280422
53144,35.7,26747,3051,0.114068868
53225,33.6,26840,2516,0.093740686
6514,35.9,27834,2794,0.100380829
6357,51.2,11673,813,0.069647905
60609,32.6,61603,6753,0.109621285
77086,31.4,28948,4742,0.163810971
85367,65.1,23146,2002,0.086494427
87740,48.6,7083,595,0.084003953
32327,40.4,28836,3757,0.130288528
62035,47.3,16255,1878,0.115533682
45431,34.7,28088,3980,0.141697522
85206,45.5,37636,3737,0.09929323
29169,41.5,24586,1866,0.075896852
2155,34.5,60386,5844,0.096777399
28560,41,27757,3496,0.125950211
83404,38.4,24080,4717,0.195888704
83338,32.7,21518,4349,0.202109862
44601,40.8,34995,3507,0.100214316
6410,46.9,29366,4436,0.151059048
74135,41.2,20646,1990,0.096386709
77084,33.4,108847,16988,0.156072285
48127,36.9,36136,6744,0.186628293
33761,55.3,20009,2039,0.101904143
91790,37.9,45939,5299,0.115348614
80634,38.3,60353,9606,0.159163588
44118,33.4,39317,5569,0.141643564
85035,26.7,60310,7789,0.129149395
93535,30.7,75074,11659,0.155300104
17970,46.9,3138,144,0.045889101
48067,35.2,24823,3145,0.126697015
27615,44.2,44429,6234,0.140313759
29464,41.6,51441,7745,0.150560837
93230,33.9,68342,11152,0.163179304
31501,38.5,15609,1100,0.070472163
93036,31.6,48687,7002,0.143816625
63367,38.4,25558,5241,0.205062994
60030,41.8,36519,5949,0.162901503
95382,36.8,39122,6782,0.173355145
7016,43.4,24275,4341,0.178825953
33024,37.6,77342,9181,0.118706524
1583,42.6,7776,739,0.095036008
33071,38.4,39831,5658,0.142050162
62864,41.2,23754,2676,0.112654711
85085,36.1,23958,4660,0.194507054
80014,41.4,39762,4640,0.116694331
80631,27.6,56481,8222,0.145571077
37217,33.4,30474,3865,0.126829428
80524,36.2,36895,5395,0.146225776
80501,37.9,42535,5501,0.129328788
80260,31.4,35216,6022,0.171001817
70577,44.4,3736,482,0.129014989
63143,35.1,9640,1063,0.11026971
33162,35.3,47637,5674,0.119109096
33566,38.8,21739,3301,0.151846911
60160,33.2,25945,3861,0.148814801
92120,39.7,30883,4141,0.134086714
21015,42.9,29517,5530,0.187349663
33710,45.1,34595,3521,0.101777714
33860,34.4,27186,3875,0.1425366
91709,38.4,81581,13625,0.167011927
98125,38.1,43449,4820,0.110934659
47601,44.1,14005,1799,0.128454124
45601,41.5,56876,6184,0.108727759
95123,37.8,69516,11416,0.164221186
90006,34.5,60225,5208,0.086475716
19703,36.1,15529,2193,0.141219654
64057,45.3,14387,1554,0.108014179
17042,43.6,38818,5390,0.138853109
63376,40,76217,12212,0.160226721
63139,36.8,22112,2190,0.099041245
72201,41.4,1006,32,0.031809145
72110,40.7,11419,1339,0.117260706
43082,43.6,34331,7331,0.213538784
94303,34.5,48770,8817,0.180787369
93243,42.6,1548,36,0.023255814
67002,37.1,14871,3360,0.225943111
46184,35,14195,1706,0.120183163
21146,42.9,27855,6037,0.216729492
92831,29.4,37766,4449,0.117804374
63113,46.6,11736,210,0.017893661
19904,35.9,37875,4102,0.10830363
91201,42.8,23534,2634,0.111923175
77074,30.8,41424,6360,0.153534183
99223,41.3,32564,5213,0.160084756
33023,36,74779,8538,0.11417644
75235,35.1,18630,1831,0.09828234
30044,33.9,90111,16475,0.182830065
60025,45.1,41381,8512,0.205698267
60804,30.8,83281,12114,0.145459348
32807,36.6,35128,3065,0.087252334
34103,64.7,13272,894,0.067359855
32836,39.1,20271,3389,0.167184648
89123,39.6,61340,6327,0.103146397
60620,40.7,68449,3377,0.049336002
1906,47.6,28529,2985,0.104630376
33311,34.4,76902,5174,0.067280435
33165,45.1,56430,5434,0.096296296
78757,37.3,25986,4032,0.155160471
75103,44.8,14688,1869,0.127246732
78418,40.4,30642,3890,0.126949938
1754,42.1,10871,1887,0.173581087
54467,37.5,14253,2185,0.153301059
90047,38.8,51971,4353,0.08375825
79907,35.3,53754,4637,0.086263348
75418,41.5,14729,1943,0.131916627
84040,36.4,24125,5266,0.218279793
32832,34.8,28223,5317,0.188392446
54929,45.3,8767,1144,0.130489335
47403,34.3,33870,4460,0.131679953
53916,42,22797,2800,0.122823178
23803,40.1,38603,2842,0.073621221
79360,27.9,16847,4144,0.245978512
28786,51.1,21233,2080,0.097960722
70507,33.3,17326,2438,0.140713379
37917,38.5,25204,2119,0.084073957
45209,31.9,11347,1066,0.093945536
61822,39.3,25808,4784,0.185368878
92395,34,44386,5398,0.121614924
80126,40.7,43828,9939,0.226772839
30120,37.8,41391,5918,0.142977942
22844,51.4,4854,395,0.081376185
44333,46.9,18973,3207,0.169029674
51501,37.2,35812,3964,0.110689154
80220,37.3,36880,5587,0.151491323
47933,41.1,27821,3413,0.122677114
23452,36.9,59639,7743,0.129831151
1915,40.8,42341,5147,0.121560662
30121,35.1,25011,3962,0.158410299
1824,45.2,26034,4727,0.181570254
1569,42.8,14177,1862,0.131339494
40504,31.1,28099,2140,0.076159294
43214,40.9,26579,2840,0.106851274
99203,43,21404,3465,0.161885629
38340,37.7,12646,1422,0.112446623
81401,44.8,22779,3234,0.14197287
33458,41.2,59354,9050,0.152474981
38103,33.4,14844,715,0.04816761
37205,45.8,24049,3382,0.140629548
80011,32.3,52741,7896,0.149712747
37663,48.4,14337,1517,0.105810142
80433,47.3,8800,1514,0.172045455
2128,33.9,47778,4097,0.085750764
85016,38.4,36321,3605,0.099253875
5401,27.1,29224,1627,0.055673419
95630,41.1,79011,15171,0.192011239
78415,35.1,40817,5238,0.128328883
97058,40.1,20843,3099,0.148683011
43537,44.5,27441,4117,0.150030976
43223,34.5,27045,1864,0.068922167
74447,36.4,16271,1470,0.090344785
89801,33.6,26959,4415,0.163767202
48430,43.8,36340,6085,0.16744634
48625,50.9,13246,1119,0.084478333
62959,41.5,28421,2986,0.105063158
88005,38.7,27233,2575,0.094554401
43212,30.7,22198,2551,0.114920263
78028,48.7,40379,3717,0.0920528
75062,31.4,49843,7911,0.158718376
72205,39.5,22797,1912,0.083870685
45056,21.9,28664,1892,0.06600614
97303,37.5,41622,6035,0.144995435
22980,42,32689,3888,0.118939093
95407,33.8,42484,5610,0.132049713
94063,33.4,35247,4820,0.136749227
95370,48.5,28402,3162,0.111330188
19952,40.5,10204,1310,0.128381027
97701,41,70257,9632,0.137096659
49221,38.2,40863,4223,0.103345325
15668,51.2,12249,1921,0.156829129
28315,35.8,13448,1613,0.119943486
77511,36.2,48074,7540,0.156841536
71104,32.1,14904,1317,0.088365539
78752,32.1,21108,2865,0.135730529
75165,35.1,45550,6891,0.151284303
4401,39.1,45021,4900,0.108838098
18073,42.3,10862,1792,0.164978825
24153,42.8,38261,4256,0.111235984
27205,41.8,35184,5008,0.142337426
15931,46.7,8930,1210,0.13549832
67502,47.1,23922,3871,0.161817574
90262,30.3,71305,9117,0.127859196
90036,35.2,38379,4925,0.128325386
66204,33.4,20120,1993,0.099055666
92630,41.6,60050,7647,0.12734388
90731,37.3,61320,6744,0.109980431
11803,44.7,28831,5495,0.190593458
53402,41.9,33919,4841,0.142722368
32547,37,34704,3382,0.097452743
30204,37.2,13294,1186,0.089213179
93277,34.1,52841,7947,0.15039458
40601,41.5,51509,5295,0.102797569
48386,44,18541,2875,0.155061755
1970,37.4,43502,3754,0.086294883
90248,43.5,11733,1239,0.105599591
95842,33.2,33887,4234,0.124944669
29860,42.7,16300,2102,0.128957055
99502,32.2,25543,4310,0.168735074
44060,47.4,60789,8415,0.13842965
30319,37.2,43480,6223,0.143123275
15102,46.8,29939,4410,0.147299509
30236,33.3,51757,5790,0.111868926
30308,32.9,19044,261,0.013705104
15236,44.8,28885,4059,0.140522763
19610,45.7,15585,2202,0.141289702
29229,34.8,52859,7424,0.140449119
6437,49.1,22458,3701,0.164796509
31029,40.9,16500,2212,0.134060606
55811,37.3,28242,3809,0.134870052
19135,33.4,35813,3954,0.110406836
38863,36.5,20784,2795,0.134478445
3264,35,7369,727,0.098656534
3063,40.9,16605,2020,0.121650105
89403,45.1,15700,1889,0.120318471
23505,29.4,30600,3873,0.126568627
23608,32.8,43527,6486,0.149010959
19043,47.9,2496,273,0.109375
95670,37.1,56164,6887,0.122623033
95118,39.3,32774,6637,0.202508086
76504,34,24015,2698,0.11234645
75790,39.5,3906,733,0.18766001
92320,48.4,8848,1214,0.137206148
24501,29.4,28341,2472,0.087223457
19333,40.8,6986,1440,0.206126539
17403,37.1,40654,3632,0.089339302
32503,32.8,34606,3466,0.100156042
78550,30.6,53218,7792,0.146416626
8736,47,13293,2308,0.173625216
77093,29.9,47649,5949,0.124850469
7701,42.2,24290,3271,0.134664471
20904,40.8,55877,7399,0.132415842
11570,42.9,27531,4975,0.180705387
76541,29.9,17883,1968,0.11004865
77034,29.2,41078,6916,0.168362627
87402,39.9,10199,1661,0.162859104
77004,28.8,37700,1744,0.046259947
60626,34.1,51095,5034,0.09852236
18704,44.1,30773,2491,0.080947584
17837,38,19874,2230,0.112206903
90016,37.8,46399,4701,0.101316839
30286,41.8,22384,2738,0.122319514
93405,22,36289,1682,0.046350134
94403,39,44892,6946,0.1547269
70433,40,39621,5900,0.148910931
71105,35.6,21051,2384,0.113248777
79007,36.1,14445,2229,0.15430945
30152,37.9,43499,8360,0.192188326
78205,53.9,1456,21,0.014423077
30531,37.3,11043,2169,0.196414018
80013,35.5,74913,11810,0.15764954
96814,47,20253,1794,0.08857947
80020,38.5,51041,8554,0.16759076
92501,33.2,21825,2519,0.115418099
48864,35.9,23706,4557,0.192229815
17745,34.9,18597,1809,0.097273754
23517,36.1,4592,145,0.031576655
76548,35.2,30842,5538,0.17956034
76209,31,25969,2637,0.101544149
95240,34,49331,8415,0.170582392
23230,38.3,6945,442,0.063642909
24017,40.5,23957,1645,0.068664691
75038,31.8,30317,4255,0.140350299
77041,39,34311,5133,0.149602168
46368,39.2,39082,4217,0.107901336
77016,36.2,31076,2618,0.084245077
40211,33.8,22802,1435,0.062933076
41653,40.4,10833,1029,0.094987538
37419,45.1,6845,692,0.10109569
39601,37.4,23542,3109,0.132061847
94588,41.1,37659,8060,0.214025864
43619,42.1,7466,1066,0.142780605
95348,28.7,34372,4303,0.125189107
93650,38.6,3207,306,0.095416277
92121,32.1,4780,677,0.141631799
47807,27.8,12015,736,0.061256762
94117,33.8,45137,3556,0.078782374
71854,39.7,36936,3385,0.091645008
93612,33.3,35523,3929,0.110604397
11365,41.8,45225,6113,0.135168601
67207,32.2,28783,3330,0.115693291
61614,40.9,28514,3992,0.140001403
98273,35.6,31424,4217,0.134196792
68107,28.6,30759,5602,0.182125557
68112,37.5,11486,1184,0.103082013
68008,41.5,12437,2442,0.196349602
94085,32.9,23476,3177,0.135329698
76002,31.4,36857,6003,0.162872724
92065,40.8,37914,5046,0.133090679
89139,34.7,41054,6520,0.158815219
94565,34.5,98736,13119,0.13286947
79401,22.4,7998,270,0.03375844
75069,37.8,38305,5121,0.133690119
46201,34.6,31299,3412,0.109013068
8077,44,19329,3058,0.158207874
89130,41.4,35075,3978,0.113414113
68521,31,35980,5664,0.157420789
69337,31.9,7085,740,0.104446013
3246,46.9,16639,1544,0.092794038
32811,31.1,41504,2677,0.064499807
69301,39.5,9607,1567,0.163110232
50701,39,31153,4165,0.133694989
30004,38.8,66006,14902,0.225767354
14624,43.7,36968,4536,0.122700714
14830,40.2,19733,2572,0.13034004
77038,29.2,32260,5414,0.167823931
78744,30.5,50669,6793,0.134066194
91606,37.2,44778,5599,0.125039082
94605,38.9,43872,4357,0.099311634
73159,36.5,33407,4851,0.145209088
77051,32.2,17408,1733,0.09955193
77011,35.7,17637,1993,0.113001077
70535,35.5,17444,2601,0.14910571
30269,43.9,36887,7076,0.1918291
37067,38.3,29865,5779,0.193504102
60915,35.7,10390,1385,0.133301251
48326,34.8,22595,2044,0.090462492
61008,39.2,34305,5276,0.153796823
23901,31.2,18597,1287,0.06920471
43551,39.7,39520,6868,0.173785425
60440,36.8,52843,7506,0.142043412
74020,42.3,7372,946,0.128323386
90029,36.6,37067,2694,0.072679203
44483,44.7,25133,2090,0.083157602
95121,40.9,37940,4792,0.126304692
55041,50.5,7962,1106,0.138909822
58203,25.9,16366,1385,0.084626665
45373,40.5,36525,5651,0.154715948
72916,40.7,8697,1404,0.161434978
44147,43.8,19592,3139,0.160218457
72116,38.4,22505,2871,0.127571651
33756,45.8,34341,3407,0.099210856
72150,42,12813,1442,0.11254195
49707,48.2,22008,2270,0.103144311
43311,37.2,19125,2756,0.144104575
15275,0,0,0,
60102,42.3,33019,6289,0.190466095
73401,38.7,36120,4850,0.13427464
23233,39.4,31949,6540,0.204701243
23834,40.2,26300,2426,0.092243346
78539,30.9,37787,6486,0.171646333
75028,40.5,48325,10423,0.215685463
22182,43.1,26408,5327,0.201719176
27834,32.5,57882,5120,0.088455824
27573,38.5,11515,653,0.056708641
43623,42.2,20035,2434,0.121487397
27610,33.3,80795,8576,0.106145182
27514,23.9,33570,3674,0.109442955
8054,44.3,41873,5856,0.139851456
7032,38.4,41819,5051,0.120782419
7621,40,27671,4702,0.169925192
78238,34.6,25939,3068,0.118277497
76063,36.6,74014,15036,0.203150755
7018,36,28246,1983,0.070204631
7646,41.3,16725,2712,0.162152466
73301,0,0,0,
32446,42.5,11236,1197,0.106532574
60403,39.7,18856,1952,0.103521426
21037,43,21275,3186,0.149753231
97030,37.2,38776,5057,0.130415721
92677,45.6,67037,9983,0.148917762
75006,35.7,52205,8588,0.164505316
68601,38.2,28954,5186,0.179111694
48442,44.2,21459,2588,0.120602078
22204,35,55212,8083,0.146399333
23456,39.6,54929,10317,0.187824282
10463,40.8,71907,7372,0.102521312
78751,30.1,16373,1043,0.063702437
56003,38.4,14898,2239,0.150288629
26037,45.2,6557,606,0.092420314
55812,22.3,11610,1007,0.086735573
43512,40.6,28415,3488,0.122752068
64506,38.9,24443,3052,0.124861924
57601,42.6,4005,699,0.174531835
55110,44.6,40693,6456,0.158651365
77099,31.8,52864,5896,0.111531477
97603,41.5,29677,4266,0.143747683
59601,40.9,32248,3696,0.114611759
27203,37.3,21211,2089,0.098486634
68801,34.2,30026,4203,0.139978685
58701,35.3,31924,4778,0.149667961
58503,38.7,34639,7101,0.205000144
69101,40.4,29348,4593,0.156501295
76240,40.3,28315,3443,0.121596327
55318,36.8,28835,5694,0.197468354
45701,22.6,36665,2611,0.071212328
53717,36.8,12887,1943,0.150772096
32773,35.5,31565,3615,0.114525582
56267,31.6,7079,1231,0.173894618
56501,43.1,17615,2692,0.152824297
5478,40,15006,1990,0.132613621
19805,34.8,38876,3257,0.083779195
79015,30.4,22164,3659,0.165087529
75244,38.4,13398,1792,0.133751306
15205,37.2,21709,2199,0.101294394
43920,40.7,22457,2420,0.1077615
46755,39.9,15261,2315,0.15169386
32550,56.1,8065,631,0.078239306
6053,34.6,34827,3177,0.091222328
20601,37.1,25795,4209,0.163171157
32207,36.5,35875,5291,0.147484321
33442,51.4,29279,2814,0.09610984
23847,39.9,15888,964,0.060674723
98270,36.1,51852,9046,0.174458073
61111,38.2,23513,3093,0.131544252
29407,37.9,35089,3264,0.093020605
75462,43,11767,2118,0.179994901
98037,39.1,30817,4358,0.141415453
26847,50,6494,339,0.052202033
75068,34.7,66710,15644,0.23450757
60707,40.9,43563,5324,0.122213805
18018,38.8,31645,2708,0.08557434
85053,36.6,30941,3331,0.107656508
27870,41.3,25775,2152,0.083491756
13206,37.9,16905,903,0.053416149
76017,37.6,48017,7335,0.152758398
93030,32.7,59059,8782,0.148698759
27253,41.6,30906,3716,0.120235553
28602,40.2,29217,3628,0.124174282
27406,37,63888,6283,0.098343977
28092,42,40958,4456,0.108794375
30815,37.3,42083,3787,0.089988832
60074,35.1,39644,6048,0.152557764
62363,41.8,5756,782,0.135858235
49307,25.7,20814,1913,0.091909292
28711,51,13413,1407,0.104898233
28715,44.2,26764,3563,0.133126588
2151,39.6,54286,6323,0.116475703
6095,44.1,29209,3716,0.127221062
49829,47.2,17053,1458,0.085498153
1851,34.1,31020,3224,0.103932946
92236,35.1,45973,6020,0.130946425
44312,43.7,31803,3329,0.10467566
30103,40.2,15959,1976,0.123817282
92223,36.2,56186,9326,0.165984409
7307,34.7,41862,5092,0.121637762
82443,47.2,4567,644,0.141011605
67217,34.3,31756,3752,0.118150901
7604,43.9,12213,1480,0.121182347
82718,32.8,26982,6040,0.223852939
32225,38.8,55618,7119,0.12799813
60622,32.3,53875,5141,0.095424594
60617,36.4,84464,7464,0.088369009
76015,34.9,17146,2112,0.123177417
55037,45.4,4732,624,0.131868132
98208,37.2,58796,9012,0.153275733
91766,31.8,73137,9342,0.127732885
92804,35,90895,12850,0.141371913
93304,29.5,49650,5804,0.116898288
98922,51.1,6679,460,0.068872586
71301,37.1,22690,1773,0.07814015
77571,38.5,37835,4610,0.121844853
78041,33.3,48273,6264,0.129761979
29505,41,25288,3478,0.13753559
43128,40.4,2546,214,0.084053417
17201,39.3,26617,3064,0.115114401
15533,39.8,1547,247,0.159663866
1607,39.6,8256,914,0.110707364
53095,43.4,27649,4072,0.147274766
48131,41.3,7137,1038,0.14543926
3038,40.6,34009,4263,0.125349172
2379,44.4,7276,1241,0.170560748
5701,48.2,20201,1949,0.096480372
16001,47.1,39270,4226,0.107613955
98036,38.8,41167,5743,0.139504943
7724,45,21148,3031,0.143323246
98271,38.1,29447,4037,0.137093762
55014,40.2,28529,4403,0.154334186
52761,39,30593,3997,0.130650802
53188,40.2,36119,5220,0.144522274
56013,51.6,4309,542,0.125783244
56401,40.3,30299,4011,0.132380607
51105,32,10645,1404,0.131892907
52807,40.8,15690,2393,0.152517527
92027,34.7,57407,7810,0.136046127
42301,38.8,44559,5611,0.125922934
32967,49.9,22562,2046,0.09068345
32780,48.7,36509,4024,0.110219398
14845,46.3,20229,2813,0.139057788
21784,42.3,37772,6796,0.179921635
75075,41.6,38700,4905,0.126744186
14226,37,30978,4171,0.134643941
33607,38.6,24649,1449,0.058785346
70634,36.9,27004,3725,0.137942527
7407,39,20277,2600,0.128224096
77627,38.4,21934,4171,0.190161393
7070,40.4,18598,3245,0.174481127
75043,35,63283,9492,0.149992889
77803,30.6,33305,3757,0.112805885
21117,37.2,59947,7326,0.12220795
55427,40.7,22893,3182,0.138994452
84604,23.9,46010,7074,0.153749185
38801,36.8,30091,3778,0.125552491
19605,41.9,20049,2576,0.128485211
98597,35.7,24257,4111,0.169476852
1440,41.4,20834,2062,0.098972833
19154,38.8,35480,4236,0.119391206
98903,38.4,14239,1901,0.133506566
29631,24.5,15467,1232,0.079653456
96720,41.3,48866,4349,0.088998486
98908,43.6,37368,5447,0.145766431
53207,37.5,37291,3816,0.102330321
19401,35.6,42354,4163,0.098290598
33323,38.4,21887,2906,0.132772879
77029,35.7,17974,2150,0.119617225
49441,43,35750,3923,0.109734266
94579,42.9,22121,2352,0.106324307
70583,37.6,11457,1529,0.133455529
34609,45.3,42687,5263,0.123292806
99362,38.3,41967,5238,0.124812353
34236,66.2,13361,489,0.036599057
92780,34.2,60148,8233,0.136879032
98520,39.1,24550,3104,0.126435845
48823,23.8,52030,4843,0.093080915
78384,37.2,5801,360,0.062058266
65672,40,9726,1126,0.115772157
75052,35.5,96536,15432,0.159857463
77022,34.3,28228,3125,0.110705682
37405,35.9,17277,1650,0.095502691
1104,35.8,23998,1948,0.081173431
30045,33.3,43487,9249,0.21268425
32206,38.1,16201,723,0.044626875
33801,34,34744,2868,0.082546627
32569,35.3,12795,1523,0.119030871
53818,23.7,16355,1650,0.100886579
76179,34.5,66210,14798,0.223500982
55408,30.4,32077,2206,0.068772017
55113,40.6,42226,5968,0.141334723
44503,47.2,1031,0,0
93702,28.6,44076,5844,0.132589164
33150,36.5,29975,2526,0.084270225
75042,31.6,39610,5985,0.151098208
92843,37.8,47384,6032,0.127300355
91205,42,38048,3790,0.099611018
55378,36.4,30939,6678,0.21584408
90028,36.7,30098,891,0.029603296
92025,33.3,53562,7818,0.145961689
61021,42.8,23097,2659,0.115123176
95405,46.4,21311,2613,0.122612735
55317,39.6,22143,4423,0.199747098
46725,43,23539,3412,0.144950932
37801,41.8,26866,4136,0.15394923
40214,37.3,46344,5608,0.121008113
33813,43.2,38630,6356,0.164535335
74354,37.3,17966,2211,0.123065791
71112,35.5,35060,4454,0.127039361
31643,42.4,8435,869,0.103023118
12522,49.4,4709,366,0.077723508
57103,36.9,35880,5568,0.155183946
91350,38.2,36567,7687,0.210216862
22801,26,42025,4327,0.102962522
45440,41.5,21274,3344,0.157187177
40213,38.2,16473,1530,0.092879257
37862,42,23399,2111,0.090217531
10470,39.6,15887,1441,0.090703091
19606,41.8,35799,4644,0.129724294
22911,42.9,17631,3025,0.171572798
64114,39.8,24815,2680,0.107999194
29201,22.9,21031,358,0.017022491
28152,41,24790,2628,0.106010488
14456,37,19685,1876,0.095300991
37324,43.7,5679,640,0.112695897
78121,38.9,13420,2605,0.194113264
15106,44.1,19881,1856,0.093355465
50703,36.1,19516,1696,0.086903054
92672,45.4,34591,4095,0.118383395
14094,42.4,49794,5521,0.110876812
24084,48,11122,1170,0.105196907
95501,39.8,23578,2071,0.087836118
66112,37.1,13237,1629,0.123064138
82930,36,14258,3086,0.216439893
30223,40.4,36899,2799,0.075855714
45211,34.3,37292,3606,0.096696342
45042,42.1,27769,3232,0.116388779
87113,37.1,15883,2848,0.179311213
34221,45.2,46862,4693,0.100145107
14750,48.7,4467,487,0.109021715
39211,34.8,24923,2772,0.111222566
56187,33.4,14732,2228,0.151235406
62946,44.4,12666,1315,0.103821254
91765,43.2,47101,7041,0.149487272
28326,29.8,24481,6501,0.265552878
81501,30.8,24263,2691,0.110909615
52302,39.7,41628,6648,0.159700202
95746,46.4,24195,4992,0.206323621
62896,44.1,12101,1289,0.106520122
73134,31.4,5312,250,0.047063253
18840,40.6,10553,1028,0.097413058
18015,31,33811,2993,0.088521487
46637,35.4,16265,1942,0.119397479
90247,38.4,48819,5226,0.107048485
96778,45.5,15047,1150,0.076427195
2909,30.7,41254,4991,0.120982208
18951,42.9,35586,5688,0.159838139
50138,43.5,12070,1860,0.154101077
95020,36.1,65540,10642,0.162374123
2451,38.4,18445,2015,0.109243697
15101,44.9,25771,4514,0.175158123
7027,39.1,4385,491,0.111972634
89169,36.1,22060,1707,0.077379873
48178,42.2,35776,7184,0.200805009
59701,40.1,33898,4008,0.118237064
15238,49.9,13085,2277,0.174016049
92673,43.7,31103,6843,0.220010931
92008,42.5,27447,3251,0.11844646
33184,47.9,22022,1574,0.071473981
33316,53,9842,500,0.050802682
73501,36.3,20170,1907,0.094546356
92253,48.3,41375,4972,0.120169184
91320,42.7,45458,8464,0.186193849
38138,45,25503,5065,0.198604086
19132,39.7,31720,802,0.025283733
78228,35.7,63039,6085,0.096527546
32073,38,42983,5062,0.117767489
29577,44.6,32648,3785,0.115933595
49412,40.5,11543,2036,0.176383956
29615,38.8,38235,5004,0.130874853
28203,30.9,16836,1710,0.101568068
27534,38,32846,4302,0.130974852
50309,29.9,8127,158,0.019441368
45805,36.9,23505,2546,0.108317379
21221,39.5,42536,3532,0.083035546
44113,32.4,20531,922,0.044907701
27577,41,27168,2809,0.103393698
22902,36.1,25520,2820,0.110501567
27909,39,39982,4846,0.121204542
76016,44.1,32375,5048,0.15592278
19403,42.6,47100,6556,0.139193206
2906,31.3,28128,3011,0.107046359
95833,31.8,40340,4881,0.120996529
94590,37.7,37686,2770,0.073502096
1060,35.5,16121,1189,0.07375473
45690,40.2,14761,2480,0.168010297
80907,38.7,29566,2707,0.091557871
1119,37,13830,870,0.062906725
2472,38.6,35905,3804,0.105946247
16127,36.3,15769,1544,0.097913628
99709,35.5,29607,4295,0.145067045
28655,44.5,55609,5755,0.103490442
85338,36.3,50668,9361,0.184751717
44133,44.2,30420,4087,0.1343524
85233,36,36028,5829,0.161790829
45224,45,21715,1689,0.077780336
27704,35,40832,4828,0.118240596
44202,45.6,20678,3785,0.183044782
92139,35.5,36498,4216,0.115513179
28117,42.5,41300,7652,0.18527845
60646,44.1,28880,5209,0.180367036
44720,43.9,39233,5301,0.135115846
94103,37.3,31037,1656,0.053355672
92024,43.6,51941,7896,0.152018637
83402,35.5,24945,4356,0.174624173
97223,38.5,51136,7437,0.145435701
30116,36.4,25443,3704,0.145580317
85365,35.8,51419,7609,0.147980319
19145,38.2,46554,3595,0.077222151
71901,40.7,30510,3638,0.119239594
49442,33.6,42033,4039,0.096091166
59047,45.7,12866,1665,0.12941085
1923,45.1,27704,3656,0.131966503
90301,35.8,38651,3649,0.094408942
1562,46.2,12058,1314,0.108973296
54703,33.6,44097,5440,0.123364401
97027,39.1,12657,1501,0.118590503
29405,35.8,30304,1617,0.053359293
85746,32.5,46017,5029,0.109285699
86001,29.6,46193,5525,0.119606867
31206,31.4,26501,2138,0.080676201
31401,27.8,20055,439,0.021889803
97404,41,34993,4438,0.126825365
29532,42.4,20655,1697,0.082159283
78641,35.8,72864,15880,0.217940272
2903,31.7,11098,306,0.027572536
53147,46.4,17041,2249,0.131975823
54302,31.9,31978,5023,0.15707674
22044,37.3,13764,2242,0.162888695
97420,45.2,28230,2964,0.104994687
97702,41.2,50711,7918,0.156139694
76705,33.3,32080,3737,0.116490025
90701,38.7,16984,1783,0.104981159
23701,39.5,24212,1787,0.073806377
32177,42.2,27137,2718,0.100158455
75230,48.6,27788,3547,0.127645027
53149,43.7,20472,3984,0.194607268
85209,42.7,41858,5698,0.136126905
76092,42.8,31766,8730,0.274822137
67101,31,4959,750,0.151240169
28601,41.1,51961,6797,0.130809646
77096,37.5,33038,5375,0.162691446
79414,29.5,18935,1976,0.104357011
79424,36.4,47444,8080,0.170306045
27517,45.8,25631,3417,0.133315126
95337,35.4,39604,7519,0.18985456
28327,42,17198,3104,0.180486103
78249,28.4,62311,7004,0.112403909
85284,41.9,20126,3204,0.159197059
90059,28,46688,4591,0.098333619
86403,50.6,18301,1380,0.075405716
85730,39.7,38761,3558,0.091793297
56560,31,44804,7271,0.162284617
55075,35.5,20432,2747,0.134445967
37416,43.7,15405,1469,0.09535865
56258,34.2,15674,2437,0.155480413
97031,40.1,19108,3279,0.171603517
85268,60,25294,1711,0.067644501
37620,44.7,32648,3785,0.115933595
29662,41.7,11543,2036,0.176383956
40291,40.5,38235,5004,0.130874853
66441,28.4,16836,1710,0.101568068
26062,45.9,32846,4302,0.130974852
70053,39.4,8127,158,0.019441368
38804,36.7,23505,2546,0.108317379
1420,35.9,42536,3532,0.083035546
20646,41.3,20531,922,0.044907701
55404,31.3,27168,2809,0.103393698
70807,28.7,25520,2820,0.110501567
34473,44.1,39982,4846,0.121204542
70820,23,32375,5048,0.15592278
71483,40.5,47100,6556,0.139193206
96002,37.8,28128,3011,0.107046359
19973,43.4,40340,4881,0.120996529
76022,39,37686,2770,0.073502096
29302,42.9,16121,1189,0.07375473
71129,34.9,14761,2480,0.168010297
84118,31.1,29566,2707,0.091557871
